Marca temporal,¿Actualmente estás cursando TSU o Ingeniería-Licenciatura?,¿A cuál carrera perteneces?,"¿En cuanto a productos y alimentos, eres vendedor o consumidor?",¿Qué tipo de productos vendes dentro de la universidad?,¿Cuántas ventas realizas al día dentro de la universidad (sólo números)?,¿Qué tan satisfecho estas con el volumen de ventas que generas dentro de campus?,¿Consideras que una aplicación impulsaría las ventas de tus productos dentro de la universidad?,¿Estarías dispuesto a pagar por una aplicación que organice y te de contacto directo con tus clientes en la universidad?,¿Cuánto estarías dispuesto a pagar por el uso de una app para realizar tus ventas (sólo números)?,¿Cuántos productos agregarías a tu oferta si vendieras a través de una app (sólo números)?,¿Cómo promocionas habitualmente tus productos dentro de la universidad?,¿Cuántas promociones exclusivas ofrecerías para los usuarios de la app (sólo números)?,¿Estarías dispuesto a dejar que personas realicen entregas de tus productos dentro de la universidad?,¿Cuánto pagarías por que alguien realice entregas de tus pedidos (sólo números)? ,¿Qué categorías consumes dentro de la universidad?,¿Cuántas veces compras alimentos en la universidad a la semana (sólo números)?,¿Cómo calificarías la calidad de alimentos dentro de la universidad?,¿Cuánto gastas en alimentos a la semana en la universidad (sólo números)?,¿Qué tan satisfecho estás con la oferta de alimentos dentro del campus?,¿Cuántas veces a la semana usarías una app para comprar alimentos en la universidad (sólo números)?,¿Cuántas veces pides o compras fuera de la universidad  a la semana(sólo números)?,¿Qué medio utilizas para enterarte de nuevos alimentos?,¿Cuánto estarías dispuesto a pagar por envíos de tus productos (sólo números)?,¿Estás dispuesto a utilizar una aplicación que te organice todos los vendedores de alimentos dentro de la universidad?,¿Cuántas veces compras productos de papelería en la universidad a la semana (sólo números)?,¿Cómo calificarías la calidad de productos de papelería dentro de la universidad?,¿Cuánto gastas en productos de papelería a la semana en la universidad (sólo números)?,¿Qué tan satisfecho estás con la oferta de productos de papelería dentro de la universidad?,¿Cuántas veces a la semana usarías una app para comprar productos de papelería en la universidad (sólo números)?,¿Cuántas veces pides o compras fuera de la universidad a la semana(sólo números)?,¿Qué medio utilizas para enterarte de los productos de papelería en la universidad?,¿Cuánto estarías dispuesto a pagar por envíos de tus productos (sólo números)?,¿Estás dispuesto a utilizar una aplicación que te organice todos los vendedores de productos de papelería dentro de la universidad?,¿Cuántas veces compras productos de tecnología en la universidad a la semana (sólo números)?,¿Cómo calificarías la calidad de productos de tecnología dentro de la universidad?,¿Cuánto gastas en productos de tecnología a la semana en la universidad?,¿Qué tan satisfecho estás con la oferta de productos de tecnología dentro de la universidad?,¿Cuántas veces a la semana usarías una app para comprar productos de tecnología en la universidad (sólo números)?,¿Cuántas veces pides o compras fuera de la universidad a la semana(sólo números)?,¿Qué medio utilizas para enterarte de los productos de tecnología en la universidad?,¿Cuánto estarías dispuesto a pagar por envíos de tus productos (sólo números)?,¿Estás dispuesto a utilizar una aplicación que te organice todos los vendedores de productos de tecnología dentro de la universidad?,¿Cuántas compras veces regalos o accesorios personales dentro de la universidad (sólo números)?,¿Cómo calificarías la calidad de productos de papelería dentro de la universidad?,¿Cuanto gastas semanalmente en regalos o accesorios personales dentro de la universidad (sólo números)?,¿Qué tan satisfecho estás con la oferta de regalos y accesorios personales dentro del campus?,¿Cuántas veces a la semana usarías una app para comprar regalos o accesorios personales en la universidad (sólo números)? ,¿Cuántas veces pides compras regalos u accesorios personales fuera de la universidad a la semana(sólo números)?,¿Qué medio utilizas para enterarte de los productos (regalos o accesorios personales) en la universidad?,¿Cuánto estarías dispuesto a pagar por envíos de tus productos (sólo números)? ,¿Estás dispuesto a utilizar una aplicación que te organice todos los vendedores de regalos y accesorios personales dentro de la universidad?,¿Consumes alimentos dentro de la universidad? ,¿Consumes productos de papelería dentro de la universidad? ,¿Consumes productos de tecnología dentro de la universidad? ,¿Consumes productos como regalos o accesorios personales dentro de la universidad? ,¿Consumes productos de papelería dentro de la universidad? ,¿Consumes productos de regalos o accesorios personales dentro de la universidad? ,¿Consumes productos de tecnología dentro de la universidad? 
1/10/2024 9:28:46,TSU,Licenciatura en Gestión y Desarrollo Turístico,Consumidor,,,,,,,,,,,,Alimentos,6,2 - Neutral,350,Neutral,5,4,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",20,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/2024 9:36:23,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Tecnología,3,1 - Mala,100,Insatisfecho,3,0,Amigos y compañeros,100,Sí,0,2- Neutral,0,Neutral,0,0,Amigos y compañeros,0,Tal vez,1,3- Buena,100,Satisfecho,2,0,Amigos y compañeros,100,Sí,0,2 Neutral,0,Neutral,1,0,Amigos y compañeros,100,Sí,,,,,,,
1/10/2024 9:37:29,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Alimentos,,3 - Buena,300,Satisfecho,1,2,Amigos y compañeros,50,Sí,0,2- Neutral,0,Neutral,0,0,Amigos y compañeros,0,No,0,2- Neutral,0,Neutral,0,0,Amigos y compañeros,0,Tal vez,0,2 Neutral,0,Neutral,0,0,Amigos y compañeros,0,Tal vez,,,,,,,
1/10/2024 10:07:24,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,"Alimentos, Tecnología",1,2 - Neutral,20,Insatisfecho,2,1,Amigos y compañeros,5,Sí,5,1- Mala,5,Muy insatisfecho,5,1,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",5,Sí,0,1- Mala,0,Muy insatisfecho,10,10,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",5,Sí,0,1 Mala,0,Muy insatisfecho,1,1,Amigos y compañeros,5,Sí,,,,,,,
1/10/2024 11:40:09,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Alimentos,2,2 - Neutral,200,Neutral,5,3,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",15,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/10/2024 11:46:33,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Alimentos,,2 - Neutral,50,Neutral,3,3,Amigos y compañeros,10,Sí,0,2- Neutral,0,Neutral,0,3,Amigos y compañeros,50,Sí,0,2- Neutral,0,Neutral,2,2,Amigos y compañeros,30,Sí,0,2 Neutral,0,Neutral,2,0,"Redes sociales (Facebook, Whattsapp)",30,Sí,,,,,,,
2/10/2024 7:10:54,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,"Alimentos, Tecnología",4,2 - Neutral,350,Neutral,5,3,Amigos y compañeros,15,Sí,,,,,,,,,,1,2- Neutral,100,Insatisfecho,2,0,Amigos y compañeros,15,Sí,,,,,,,,,,,,,,,,
2/10/2024 7:16:58,Ingeniería o Lincenciatura,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Ninguno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2024 13:26:26,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Alimentos,5,1 - Mala,800,Neutral,3,4,Amigos y compañeros,20,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2024 13:39:49,Ingeniería o Lincenciatura,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Alimentos,7,2 - Neutral,350,Neutral,2,2,Amigos y compañeros,60,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/2024 13:52:55,TSU,Ingeniería en Tecnologías de la Información e Innovación Digital,Consumidor,,,,,,,,,,,,Alimentos,5,1 - Mala,500,Neutral,5,2,"Redes sociales (Facebook, Whattsapp), Amigos y compañeros",20,Sí,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
